8.6797	8.6804	8.6797	8.6809	8.6795	8.6809	8.68	8.6807	8.6801	8.6807	8.6803	8.6805	8.6804	8.6808	8.68	8.6811	8.6803	8.6807	8.6809	8.6803	8.6811	8.6799	8.6814	8.6801	8.6807	8.6812	8.6801	8.6813	8.6808	8.6802	8.6814	8.6801	8.6812	8.6808	8.681	8.6806	8.6812	8.6805	8.6809	8.6814	8.6804	8.6818	8.6806	8.681	8.6814	8.6807
7.9249	7.9256	7.9249	7.926	7.9247	7.926	7.9251	7.9259	7.9251	7.9259	7.9254	7.9256	7.9256	7.926	7.9251	7.9262	7.9254	7.9259	7.9259	7.9256	7.9262	7.9251	7.9265	7.9252	7.9259	7.9263	7.9253	7.9264	7.9259	7.9254	7.9264	7.9254	7.9262	7.9259	7.9262	7.9257	7.9264	7.9256	7.926	7.9265	7.9255	7.9269	7.9257	7.9261	7.9265	7.9259
7.1732	7.1739	7.1732	7.1742	7.173	7.1742	7.1733	7.1742	7.1733	7.1742	7.1736	7.1739	7.1738	7.1742	7.1734	7.1744	7.1736	7.1742	7.174	7.1739	7.1743	7.1733	7.1748	7.1734	7.1742	7.1745	7.1735	7.1746	7.1741	7.1737	7.1745	7.1737	7.1743	7.1741	7.1744	7.1738	7.1747	7.1738	7.1743	7.1746	7.1737	7.175	7.174	7.1743	7.1747	7.1741
6.4133	6.414	6.4133	6.4143	6.4131	6.4143	6.4134	6.4143	6.4133	6.4144	6.4137	6.414	6.4139	6.4142	6.4135	6.4144	6.4137	6.4143	6.414	6.4141	6.4143	6.4134	6.4149	6.4134	6.4143	6.4145	6.4136	6.4147	6.4141	6.4139	6.4145	6.4139	6.4143	6.4142	6.4145	6.4139	6.4148	6.4138	6.4143	6.4147	6.4138	6.4151	6.4141	6.4143	6.4148	6.4141
5.6654	5.6662	5.6654	5.6665	5.6653	5.6664	5.6656	5.6665	5.6654	5.6666	5.6658	5.6662	5.666	5.6663	5.6657	5.6665	5.6658	5.6665	5.666	5.6663	5.6664	5.6656	5.667	5.6655	5.6665	5.6665	5.6658	5.6668	5.6662	5.6661	5.6665	5.6661	5.6664	5.6663	5.6667	5.6659	5.6669	5.6658	5.6664	5.6667	5.6659	5.6671	5.6662	5.6664	5.6669	5.6662
4.9098	4.9106	4.9098	4.9108	4.9097	4.9108	4.9099	4.9109	4.9097	4.911	4.9101	4.9106	4.9104	4.9107	4.9101	4.9109	4.9102	4.9109	4.9103	4.9108	4.9107	4.91	4.9114	4.9098	4.9109	4.9108	4.9102	4.9112	4.9105	4.9105	4.9108	4.9105	4.9106	4.9107	4.911	4.9102	4.9114	4.9102	4.9108	4.911	4.9103	4.9114	4.9106	4.9107	4.9112	4.9106
4.154	4.1547	4.1539	4.155	4.1539	4.1549	4.154	4.1551	4.1538	4.1552	4.1542	4.1547	4.1545	4.1548	4.1543	4.1549	4.1542	4.1551	4.1543	4.155	4.1547	4.1541	4.1555	4.1538	4.1551	4.1548	4.1543	4.1552	4.1546	4.1547	4.1547	4.1547	4.1546	4.1548	4.1551	4.1542	4.1555	4.1542	4.1549	4.1551	4.1544	4.1554	4.1547	4.1547	4.1553	4.1546
3.3983	3.399	3.3983	3.3992	3.3982	3.3992	3.3983	3.3994	3.398	3.3996	3.3984	3.399	3.3988	3.399	3.3986	3.3992	3.3985	3.3994	3.3984	3.3994	3.3989	3.3984	3.3998	3.398	3.3994	3.3991	3.3986	3.3995	3.3988	3.399	3.3989	3.3991	3.3988	3.399	3.3994	3.3985	3.3998	3.3984	3.3992	3.3993	3.3986	3.3997	3.399	3.3989	3.3995	3.3989
2.6469	2.6477	2.6469	2.6479	2.6469	2.6478	2.6469	2.6481	2.6466	2.6482	2.647	2.6477	2.6474	2.6476	2.6472	2.6477	2.6472	2.648	2.647	2.6481	2.6474	2.6471	2.6484	2.6466	2.648	2.6476	2.6473	2.648	2.6475	2.6477	2.6474	2.6477	2.6473	2.6476	2.648	2.647	2.6484	2.647	2.6477	2.6479	2.6472	2.6482	2.6476	2.6475	2.6481	2.6475
1.8931	1.8938	1.893	1.8939	1.893	1.8938	1.8931	1.8941	1.8926	1.8943	1.893	1.8938	1.8934	1.8937	1.8933	1.8937	1.8933	1.8941	1.893	1.8942	1.8934	1.8933	1.8943	1.8927	1.894	1.8936	1.8934	1.894	1.8936	1.8937	1.8934	1.8939	1.8933	1.8937	1.894	1.8931	1.8944	1.8931	1.8938	1.8939	1.8933	1.8942	1.8937	1.8935	1.8941	1.8936
1.1419	1.1426	1.1418	1.1428	1.1419	1.1426	1.1419	1.1429	1.1415	1.1432	1.1418	1.1427	1.1421	1.1426	1.1422	1.1425	1.1421	1.1428	1.1418	1.1431	1.1421	1.1421	1.1431	1.1416	1.1428	1.1423	1.1423	1.1427	1.1424	1.1425	1.1422	1.1427	1.142	1.1426	1.1427	1.1419	1.1432	1.1419	1.1425	1.1426	1.1421	1.1429	1.1425	1.1423	1.1428	1.1424
0.38438	0.38507	0.38424	0.38519	0.38436	0.38499	0.38437	0.38533	0.38388	0.3856	0.38414	0.38517	0.38448	0.38499	0.38459	0.38481	0.38459	0.3852	0.38416	0.38552	0.38443	0.38464	0.38537	0.38406	0.38519	0.38463	0.38475	0.38497	0.38486	0.3849	0.38452	0.38518	0.38432	0.38498	0.38505	0.38436	0.3855	0.38432	0.38488	0.38497	0.38453	0.38517	0.38492	0.38464	0.38515	0.38478
0.36854	0.36788	0.36872	0.36778	0.36857	0.36802	0.36856	0.36765	0.3691	0.36734	0.36888	0.36773	0.36857	0.36796	0.36836	0.36824	0.36834	0.36783	0.36885	0.36741	0.36865	0.36826	0.3677	0.36887	0.36782	0.36842	0.36816	0.36813	0.36808	0.36809	0.36853	0.36775	0.36876	0.36798	0.36801	0.3686	0.36755	0.36865	0.36815	0.36807	0.36845	0.36791	0.36805	0.36839	0.3679	0.3682
1.1227	1.122	1.1229	1.122	1.1227	1.1222	1.1227	1.1218	1.1233	1.1215	1.1231	1.1218	1.1228	1.1221	1.1225	1.1225	1.1225	1.1221	1.1231	1.1216	1.1229	1.1224	1.122	1.123	1.122	1.1227	1.1223	1.1224	1.1222	1.1223	1.1228	1.1219	1.1231	1.1222	1.1223	1.1228	1.1218	1.1228	1.1224	1.1223	1.1226	1.1222	1.1222	1.1226	1.1222	1.1224
1.876	1.8754	1.8762	1.8753	1.876	1.8756	1.876	1.8752	1.8767	1.8748	1.8765	1.8751	1.8763	1.8755	1.8759	1.8759	1.8758	1.8755	1.8765	1.8749	1.8764	1.8756	1.8754	1.8763	1.8754	1.8761	1.8756	1.8759	1.8756	1.8757	1.8762	1.8752	1.8765	1.8755	1.8757	1.8761	1.8752	1.8762	1.8758	1.8757	1.876	1.8757	1.8756	1.8761	1.8756	1.8758
2.6271	2.6265	2.6273	2.6264	2.6271	2.6268	2.6271	2.6264	2.6278	2.6259	2.6277	2.6262	2.6274	2.6266	2.627	2.6271	2.6269	2.6266	2.6276	2.626	2.6276	2.6267	2.6267	2.6274	2.6266	2.6273	2.6266	2.6272	2.6266	2.6268	2.6274	2.6263	2.6277	2.6266	2.6269	2.6272	2.6264	2.6273	2.627	2.6269	2.6271	2.6269	2.6267	2.6272	2.6268	2.6269
3.3841	3.3835	3.3844	3.3835	3.3841	3.3838	3.3841	3.3835	3.3848	3.383	3.3847	3.3832	3.3846	3.3835	3.3841	3.3842	3.3839	3.3837	3.3846	3.3831	3.3847	3.3837	3.3838	3.3844	3.3838	3.3844	3.3837	3.3843	3.3837	3.384	3.3844	3.3834	3.3848	3.3837	3.3841	3.3843	3.3836	3.3843	3.3841	3.384	3.3842	3.384	3.3838	3.3843	3.3839	3.3839
4.1397	4.1393	4.1401	4.1392	4.1398	4.1396	4.1398	4.1392	4.1404	4.1388	4.1405	4.1389	4.1404	4.1392	4.1399	4.1399	4.1397	4.1396	4.1404	4.1389	4.1404	4.1395	4.1397	4.14	4.1396	4.1401	4.1395	4.1402	4.1394	4.1398	4.1401	4.1392	4.1405	4.1396	4.1399	4.14	4.1395	4.14	4.14	4.1398	4.14	4.1399	4.1396	4.1401	4.1398	4.1397
